Time[s], Channel 7
12.900226, 1
12.929324, 0
12.929326, 1
12.929328, 0
12.929334, 1
12.929338, 0
12.929356, 1
12.929362, 0
12.981656, 1
13.01234, 0
13.012342, 1
13.012344, 0
13.012352, 1
13.012354, 0
13.012366, 1
13.012368, 0
13.012374, 1
13.01238, 0
13.012406, 1
13.012408, 0
13.06285, 1
13.090064, 0
13.09007, 1
13.090074, 0
13.090092, 1
13.090098, 0
13.090124, 1
13.090126, 0
13.139436, 1
13.16838, 0
13.168382, 1
13.168386, 0
13.168392, 1
13.168394, 0
13.168406, 1
13.168408, 0
13.168414, 1
13.16842, 0
13.168446, 1
13.168448, 0
13.215908, 1
13.241916, 0
13.241918, 1
13.24192, 0
13.241928, 1
13.24193, 0
13.24195, 1
13.241954, 0
13.28995, 1
13.319104, 0
13.319106, 1
13.319108, 0
13.319116, 1
13.319118, 0
13.31913, 1
13.319132, 0
13.319138, 1
13.319144, 0
13.31917, 1
13.319172, 0
13.369538, 1
13.39806, 0
13.398062, 1
13.398066, 0
13.398072, 1
13.398074, 0
13.398094, 1
13.398098, 0
13.398126, 1
13.398128, 0
13.452256, 1
13.484584, 0
13.484586, 1
13.484588, 0
13.484594, 1
13.484598, 0
13.484606, 1
13.484608, 0
13.484616, 1
13.484624, 0
13.484648, 1
13.484652, 0
13.541354, 1
13.573374, 0
13.573376, 1
13.573378, 0
13.573384, 1
13.573388, 0
13.573406, 1
13.573412, 0
13.573438, 1
13.57344, 0
13.634038, 1
13.670426, 0
13.670428, 1
13.67043, 0
13.670438, 1
13.67044, 0
13.670452, 1
13.670454, 0
13.67046, 1
13.670466, 0
13.670492, 1
13.670494, 0
13.733832, 1
13.769734, 0
13.769736, 1
13.769738, 0
13.769744, 1
13.769748, 0
13.769766, 1
13.769772, 0
13.769798, 1
13.769802, 0
13.837968, 1
13.8788, 0
13.878802, 1
13.878804, 0
13.878812, 1
13.878814, 0
13.878826, 1
13.878828, 0
13.878834, 1
13.87884, 0
13.878866, 1
13.878868, 0
13.949806, 1
13.989896, 0
13.989898, 1
13.989902, 0
13.989908, 1
13.98991, 0
13.98993, 1
13.989936, 0
13.989962, 1
13.989964, 0
14.066614, 1
14.112226, 0
14.112228, 1
14.11223, 0
14.112238, 1
14.11224, 0
14.112258, 1
14.112266, 0
14.112292, 1
14.112294, 0
14.19202, 1
14.23709, 0
14.237092, 1
14.237094, 0
14.2371, 1
14.237104, 0
14.237122, 1
14.237128, 0
14.323302, 1
14.374264, 0
14.374266, 1
14.374268, 0
14.374274, 1
14.374278, 0
14.37429, 1
14.374292, 0
14.374296, 1
14.374304, 0
14.374328, 1
14.374332, 0
14.463454, 1
14.513814, 0
14.513816, 1
14.513818, 0
14.513824, 1
14.513828, 0
14.513846, 1
14.513852, 0
14.513878, 1
14.51388, 0
14.610768, 1
14.66817, 0
14.668172, 1
14.668174, 0
14.668182, 1
14.668184, 0
14.668196, 1
14.668198, 0
14.668202, 1
14.66821, 0
14.668236, 1
14.668238, 0
14.768124, 1
14.824794, 0
14.824796, 1
14.8248, 0
14.824806, 1
14.824808, 0
14.82482, 1
14.824822, 0
14.824828, 1
14.824834, 0
14.82486, 1
14.824862, 0
14.934068, 1
14.998534, 0
14.998536, 1
14.99854, 0
14.998546, 1
14.998548, 0
14.99856, 1
14.998562, 0
14.998568, 1
14.998574, 0
14.9986, 1
14.998602, 0
15.107066, 1
15.16104, 0
15.161042, 1
15.161044, 0
15.16105, 1
15.161054, 0
15.161074, 1
15.161078, 0
15.161106, 1
15.161108, 0
15.254632, 1
15.305332, 0
15.305334, 1
15.305336, 0
15.305342, 1
15.305346, 0
15.305364, 1
15.30537, 0
15.305396, 1
15.3054, 0
15.38701, 1
15.430012, 0
15.430014, 1
15.430016, 0
15.430022, 1
15.430026, 0
15.430044, 1
15.43005, 0
15.508942, 1
15.554426, 0
15.554428, 1
15.55443, 0
15.554436, 1
15.55444, 0
15.554458, 1
15.554466, 0
15.55449, 1
15.554494, 0
15.62919, 1
15.669288, 0
15.66929, 1
15.669294, 0
15.6693, 1
15.669302, 0
15.669322, 1
15.669326, 0
15.742864, 1
15.785316, 0
15.785318, 1
15.78532, 0
15.785326, 1
15.78533, 0
15.785348, 1
15.785356, 0
15.785382, 1
15.785384, 0
15.855684, 1
15.893492, 0
15.893494, 1
15.893498, 0
15.893504, 1
15.893506, 0
15.893526, 1
15.89353, 0
15.893558, 1
15.89356, 0
15.963582, 1
16.004584, 0
16.004586, 1
16.004588, 0
16.004594, 1
16.004598, 0
16.004616, 1
16.004624, 0
16.004648, 1
16.004652, 0
16.073158, 1
16.110602, 0
16.110604, 1
16.110606, 0
16.110612, 1
16.110616, 0
16.110634, 1
16.11064, 0
16.180346, 1
16.22069, 0
16.220692, 1
16.220694, 0
16.2207, 1
16.220704, 0
16.220722, 1
16.22073, 0
16.220754, 1
16.220758, 0
16.288168, 1
16.324464, 0
16.324466, 1
16.324468, 0
16.324476, 1
16.324478, 0
16.324498, 1
16.324502, 0
16.32453, 1
16.324532, 0
16.390642, 1
16.428384, 0
16.428386, 1
16.42839, 0
16.428396, 1
16.428398, 0
16.42841, 1
16.428412, 0
16.428418, 1
16.428424, 0
16.489138, 1
16.520934, 0
16.520936, 1
16.52094, 0
16.520946, 1
16.520948, 0
16.520968, 1
16.520972, 0
16.57821, 1
16.611352, 0
16.611354, 1
16.611356, 0
16.611362, 1
16.611366, 0
16.611384, 1
16.611392, 0
16.611416, 1
16.61142, 0
16.66911, 1
16.701348, 0
16.70135, 1
16.701352, 0
16.701358, 1
16.701362, 0
16.70138, 1
16.701386, 0
16.701412, 1
16.701414, 0
16.76314, 1
16.799892, 0
16.799894, 1
16.799896, 0
16.799902, 1
16.799906, 0
16.799924, 1
16.799932, 0
16.799956, 1
16.79996, 0
16.864306, 1
16.900792, 0
16.900794, 1
16.900798, 0
16.900804, 1
16.900806, 0
16.900818, 1
16.90082, 0
16.900826, 1
16.90083, 0
16.970252, 1
17.011862, 0
17.011864, 1
17.011866, 0
17.011872, 1
17.011876, 0
